id,direction,lat,lon
0,0,-38.045218999999975,-71.27999099999994
1,1,-38.045218999999975,-71.27999099999994
2,2,-38.045218999999975,-71.27999099999994
3,3,-38.045218999999975,-71.27999099999994
4,0,-38.07830599999994,-71.38552799999997
5,1,-38.07830599999994,-71.38552799999997
6,2,-38.07830599999994,-71.38552799999997
7,3,-38.07830599999994,-71.38552799999997
8,0,-38.09119399999997,-71.41138799999999
9,1,-38.09119399999997,-71.41138799999999
10,2,-38.09119399999997,-71.41138799999999
11,3,-38.09119399999997,-71.41138799999999
12,0,-37.82691599999998,-71.56149999999997
13,1,-37.82691599999998,-71.56149999999997
14,2,-37.82691599999998,-71.56149999999997
15,3,-37.82691599999998,-71.56149999999997
16,0,-37.88686099999995,-71.63030599999996
17,1,-37.88686099999995,-71.63030599999996
18,2,-37.88686099999995,-71.63030599999996
19,3,-37.88686099999995,-71.63030599999996
20,0,-37.32819399999994,-71.66188899999997
21,1,-37.32819399999994,-71.66188899999997
22,2,-37.32819399999994,-71.66188899999997
23,3,-37.32819399999994,-71.66188899999997
24,0,-37.35647199999994,-71.66644399999996
25,1,-37.35647199999994,-71.66644399999996
26,2,-37.35647199999994,-71.66644399999996
27,3,-37.35647199999994,-71.66644399999996
28,0,-37.62777799999998,-71.66958299999999
29,1,-37.62777799999998,-71.66958299999999
30,2,-37.62777799999998,-71.66958299999999
31,3,-37.62777799999998,-71.66958299999999
32,0,-38.05848299999997,-71.68513099999996
33,1,-38.05848299999997,-71.68513099999996
34,2,-38.05848299999997,-71.68513099999996
35,3,-38.05848299999997,-71.68513099999996
36,0,-37.769916999999964,-71.70349999999996
37,1,-37.769916999999964,-71.70349999999996
38,2,-37.769916999999964,-71.70349999999996
39,3,-37.769916999999964,-71.70349999999996
40,0,-37.32647999999995,-71.70450799999998
41,1,-37.32647999999995,-71.70450799999998
42,2,-37.32647999999995,-71.70450799999998
43,3,-37.32647999999995,-71.70450799999998
44,0,-37.651971999999944,-71.71102799999994
45,1,-37.651971999999944,-71.71102799999994
46,2,-37.651971999999944,-71.71102799999994
47,3,-37.651971999999944,-71.71102799999994
48,0,-37.67474999999996,-71.71419399999996
49,1,-37.67474999999996,-71.71419399999996
50,2,-37.67474999999996,-71.71419399999996
51,3,-37.67474999999996,-71.71419399999996
52,0,-37.335770999999966,-71.73140699999993
53,1,-37.335770999999966,-71.73140699999993
54,2,-37.335770999999966,-71.73140699999993
55,3,-37.335770999999966,-71.73140699999993
56,0,-37.69041299999998,-71.74322399999994
57,1,-37.69041299999998,-71.74322399999994
58,2,-37.69041299999998,-71.74322399999994
59,3,-37.69041299999998,-71.74322399999994
60,0,-37.59347199999996,-71.74797199999995
61,1,-37.59347199999996,-71.74797199999995
62,2,-37.59347199999996,-71.74797199999995
63,3,-37.59347199999996,-71.74797199999995
64,0,-37.21011099999998,-71.78069399999998
65,1,-37.21011099999998,-71.78069399999998
66,2,-37.21011099999998,-71.78069399999998
67,3,-37.21011099999998,-71.78069399999998
68,0,-37.70083299999993,-71.79444399999994
69,1,-37.70083299999993,-71.79444399999994
70,2,-37.70083299999993,-71.79444399999994
71,3,-37.70083299999993,-71.79444399999994
72,0,-37.22604999999993,-71.79668299999997
73,1,-37.22604999999993,-71.79668299999997
74,2,-37.22604999999993,-71.79668299999997
75,3,-37.22604999999993,-71.79668299999997
76,0,-37.49413899999996,-71.82669399999997
77,1,-37.49413899999996,-71.82669399999997
78,2,-37.49413899999996,-71.82669399999997
79,3,-37.49413899999996,-71.82669399999997
80,0,-37.35322199999996,-71.84149999999994
81,1,-37.35322199999996,-71.84149999999994
82,2,-37.35322199999996,-71.84149999999994
83,3,-37.35322199999996,-71.84149999999994
84,0,-37.364221999999984,-71.86030599999998
85,1,-37.364221999999984,-71.86030599999998
86,2,-37.364221999999984,-71.86030599999998
87,3,-37.364221999999984,-71.86030599999998
88,0,-37.58645699999994,-71.88124399999998
89,1,-37.58645699999994,-71.88124399999998
90,2,-37.58645699999994,-71.88124399999998
91,3,-37.58645699999994,-71.88124399999998
92,0,-37.229026999999974,-71.90347199999997
93,1,-37.229026999999974,-71.90347199999997
94,2,-37.229026999999974,-71.90347199999997
95,3,-37.229026999999974,-71.90347199999997
96,0,-37.557999999999936,-71.90694399999995
97,1,-37.557999999999936,-71.90694399999995
98,2,-37.557999999999936,-71.90694399999995
99,3,-37.557999999999936,-71.90694399999995
100,0,-37.26694399999997,-71.90708299999994
101,1,-37.26694399999997,-71.90708299999994
102,2,-37.26694399999997,-71.90708299999994
103,3,-37.26694399999997,-71.90708299999994
104,0,-37.517799999999966,-71.91754999999995
105,1,-37.517799999999966,-71.91754999999995
106,2,-37.517799999999966,-71.91754999999995
107,3,-37.517799999999966,-71.91754999999995
108,0,-37.586138999999946,-71.91994399999999
109,1,-37.586138999999946,-71.91994399999999
110,2,-37.586138999999946,-71.91994399999999
111,3,-37.586138999999946,-71.91994399999999
112,0,-37.328735999999935,-71.92295199999995
113,1,-37.328735999999935,-71.92295199999995
114,2,-37.328735999999935,-71.92295199999995
115,3,-37.328735999999935,-71.92295199999995
116,0,-37.73452499999996,-71.93798399999997
117,1,-37.73452499999996,-71.93798399999997
118,2,-37.73452499999996,-71.93798399999997
119,3,-37.73452499999996,-71.93798399999997
120,0,-37.24032299999993,-71.94229899999993
121,1,-37.24032299999993,-71.94229899999993
122,2,-37.24032299999993,-71.94229899999993
123,3,-37.24032299999993,-71.94229899999993
124,0,-37.79402799999997,-71.94294399999995
125,1,-37.79402799999997,-71.94294399999995
126,2,-37.79402799999997,-71.94294399999995
127,3,-37.79402799999997,-71.94294399999995
128,0,-37.23104799999993,-71.94370099999998
129,1,-37.23104799999993,-71.94370099999998
130,2,-37.23104799999993,-71.94370099999998
131,3,-37.23104799999993,-71.94370099999998
132,0,-37.29622199999994,-71.94463899999994
133,1,-37.29622199999994,-71.94463899999994
134,2,-37.29622199999994,-71.94463899999994
135,3,-37.29622199999994,-71.94463899999994
136,0,-37.24600799999996,-71.94515099999995
137,1,-37.24600799999996,-71.94515099999995
138,2,-37.24600799999996,-71.94515099999995
139,3,-37.24600799999996,-71.94515099999995
140,0,-37.467457999999965,-71.97153299999997
141,1,-37.467457999999965,-71.97153299999997
142,2,-37.467457999999965,-71.97153299999997
143,3,-37.467457999999965,-71.97153299999997
144,0,-37.394555999999966,-71.99486099999996
145,1,-37.394555999999966,-71.99486099999996
146,2,-37.394555999999966,-71.99486099999996
147,3,-37.394555999999966,-71.99486099999996
148,0,-37.666447999999946,-72.02003799999994
149,1,-37.666447999999946,-72.02003799999994
150,2,-37.666447999999946,-72.02003799999994
151,3,-37.666447999999946,-72.02003799999994
152,0,-37.683888999999965,-72.02869399999997
153,1,-37.683888999999965,-72.02869399999997
154,2,-37.683888999999965,-72.02869399999997
155,3,-37.683888999999965,-72.02869399999997
156,0,-37.78250299999996,-72.06786399999999
157,1,-37.78250299999996,-72.06786399999999
158,2,-37.78250299999996,-72.06786399999999
159,3,-37.78250299999996,-72.06786399999999
160,0,-37.57195299999995,-72.07151399999998
161,1,-37.57195299999995,-72.07151399999998
162,2,-37.57195299999995,-72.07151399999998
163,3,-37.57195299999995,-72.07151399999998
164,0,-37.36666699999995,-72.09991699999995
165,1,-37.36666699999995,-72.09991699999995
166,2,-37.36666699999995,-72.09991699999995
167,3,-37.36666699999995,-72.09991699999995
168,0,-37.618518999999935,-72.10755599999999
169,1,-37.618518999999935,-72.10755599999999
170,2,-37.618518999999935,-72.10755599999999
171,3,-37.618518999999935,-72.10755599999999
172,0,-37.588705999999945,-72.11434199999997
173,1,-37.588705999999945,-72.11434199999997
174,2,-37.588705999999945,-72.11434199999997
175,3,-37.588705999999945,-72.11434199999997
176,0,-37.67878299999995,-72.11874199999994
177,1,-37.67878299999995,-72.11874199999994
178,2,-37.67878299999995,-72.11874199999994
179,3,-37.67878299999995,-72.11874199999994
180,0,-37.43832999999995,-72.13395199999997
181,1,-37.43832999999995,-72.13395199999997
182,2,-37.43832999999995,-72.13395199999997
183,3,-37.43832999999995,-72.13395199999997
184,0,-37.88869399999993,-72.14480599999996
185,1,-37.88869399999993,-72.14480599999996
186,2,-37.88869399999993,-72.14480599999996
187,3,-37.88869399999993,-72.14480599999996
188,0,-37.564971999999955,-72.15855599999998
189,1,-37.564971999999955,-72.15855599999998
190,2,-37.564971999999955,-72.15855599999998
191,3,-37.564971999999955,-72.15855599999998
192,0,-37.62941699999993,-72.16674999999998
193,1,-37.62941699999993,-72.16674999999998
194,2,-37.62941699999993,-72.16674999999998
195,3,-37.62941699999993,-72.16674999999998
196,0,-37.54880499999996,-72.20502299999998
197,1,-37.54880499999996,-72.20502299999998
198,2,-37.54880499999996,-72.20502299999998
199,3,-37.54880499999996,-72.20502299999998
200,0,-37.48383299999995,-72.21008299999994
201,1,-37.48383299999995,-72.21008299999994
202,2,-37.48383299999995,-72.21008299999994
203,3,-37.48383299999995,-72.21008299999994
204,0,-37.435779999999966,-72.21916399999998
205,1,-37.435779999999966,-72.21916399999998
206,2,-37.435779999999966,-72.21916399999998
207,3,-37.435779999999966,-72.21916399999998
208,0,-37.53236199999998,-72.22415299999994
209,1,-37.53236199999998,-72.22415299999994
210,2,-37.53236199999998,-72.22415299999994
211,3,-37.53236199999998,-72.22415299999994
212,0,-37.38405499999993,-72.22641699999997
213,1,-37.38405499999993,-72.22641699999997
214,2,-37.38405499999993,-72.22641699999997
215,3,-37.38405499999993,-72.22641699999997
216,0,-37.29993099999996,-72.22897799999998
217,1,-37.29993099999996,-72.22897799999998
218,2,-37.29993099999996,-72.22897799999998
219,3,-37.29993099999996,-72.22897799999998
220,0,-37.73363899999998,-72.23224999999996
221,1,-37.73363899999998,-72.23224999999996
222,2,-37.73363899999998,-72.23224999999996
223,3,-37.73363899999998,-72.23224999999996
224,0,-37.72518199999996,-72.23348699999997
225,1,-37.72518199999996,-72.23348699999997
226,2,-37.72518199999996,-72.23348699999997
227,3,-37.72518199999996,-72.23348699999997
228,0,-37.202459999999974,-72.23413299999999
229,1,-37.202459999999974,-72.23413299999999
230,2,-37.202459999999974,-72.23413299999999
231,3,-37.202459999999974,-72.23413299999999
232,0,-37.715885999999955,-72.24489399999999
233,1,-37.715885999999955,-72.24489399999999
234,2,-37.715885999999955,-72.24489399999999
235,3,-37.715885999999955,-72.24489399999999
236,0,-37.72730599999994,-72.24916699999994
237,1,-37.72730599999994,-72.24916699999994
238,2,-37.72730599999994,-72.24916699999994
239,3,-37.72730599999994,-72.24916699999994
240,0,-37.68827599999997,-72.25000799999998
241,1,-37.68827599999997,-72.25000799999998
242,2,-37.68827599999997,-72.25000799999998
243,3,-37.68827599999997,-72.25000799999998
244,0,-37.63100499999996,-72.27051899999998
245,1,-37.63100499999996,-72.27051899999998
246,2,-37.63100499999996,-72.27051899999998
247,3,-37.63100499999996,-72.27051899999998
248,0,-37.509166999999934,-72.27749999999997
249,1,-37.509166999999934,-72.27749999999997
250,2,-37.509166999999934,-72.27749999999997
251,3,-37.509166999999934,-72.27749999999997
252,0,-37.04591899999997,-72.28115299999996
253,1,-37.04591899999997,-72.28115299999996
254,2,-37.04591899999997,-72.28115299999996
255,3,-37.04591899999997,-72.28115299999996
256,0,-37.45836099999997,-72.28530599999993
257,1,-37.45836099999997,-72.28530599999993
258,2,-37.45836099999997,-72.28530599999993
259,3,-37.45836099999997,-72.28530599999993
260,0,-37.55372999999997,-72.29704999999996
261,1,-37.55372999999997,-72.29704999999996
262,2,-37.55372999999997,-72.29704999999996
263,3,-37.55372999999997,-72.29704999999996
264,0,-37.37602799999996,-72.29888899999997
265,1,-37.37602799999996,-72.29888899999997
266,2,-37.37602799999996,-72.29888899999997
267,3,-37.37602799999996,-72.29888899999997
268,0,-37.43516699999998,-72.30558299999996
269,1,-37.43516699999998,-72.30558299999996
270,2,-37.43516699999998,-72.30558299999996
271,3,-37.43516699999998,-72.30558299999996
272,0,-37.53283099999993,-72.31388599999997
273,1,-37.53283099999993,-72.31388599999997
274,2,-37.53283099999993,-72.31388599999997
275,3,-37.53283099999993,-72.31388599999997
276,0,-37.796032999999966,-72.31727199999995
277,1,-37.796032999999966,-72.31727199999995
278,2,-37.796032999999966,-72.31727199999995
279,3,-37.796032999999966,-72.31727199999995
280,0,-37.46529199999998,-72.31936999999994
281,1,-37.46529199999998,-72.31936999999994
282,2,-37.46529199999998,-72.31936999999994
283,3,-37.46529199999998,-72.31936999999994
284,0,-37.504456999999945,-72.32316099999997
285,1,-37.504456999999945,-72.32316099999997
286,2,-37.504456999999945,-72.32316099999997
287,3,-37.504456999999945,-72.32316099999997
288,0,-37.085429999999974,-72.32488899999998
289,1,-37.085429999999974,-72.32488899999998
290,2,-37.085429999999974,-72.32488899999998
291,3,-37.085429999999974,-72.32488899999998
292,0,-37.47174999999993,-72.32488899999998
293,1,-37.47174999999993,-72.32488899999998
294,2,-37.47174999999993,-72.32488899999998
295,3,-37.47174999999993,-72.32488899999998
296,0,-37.49077699999998,-72.32556099999994
297,1,-37.49077699999998,-72.32556099999994
298,2,-37.49077699999998,-72.32556099999994
299,3,-37.49077699999998,-72.32556099999994
300,0,-37.45077799999996,-72.32583299999999
301,1,-37.45077799999996,-72.32583299999999
302,2,-37.45077799999996,-72.32583299999999
303,3,-37.45077799999996,-72.32583299999999
304,0,-37.437224999999955,-72.32657999999998
305,1,-37.437224999999955,-72.32657999999998
306,2,-37.437224999999955,-72.32657999999998
307,3,-37.437224999999955,-72.32657999999998
308,0,-37.46438899999998,-72.32783299999994
309,1,-37.46438899999998,-72.32783299999994
310,2,-37.46438899999998,-72.32783299999994
311,3,-37.46438899999998,-72.32783299999994
312,0,-37.48579999999998,-72.32809999999995
313,1,-37.48579999999998,-72.32809999999995
314,2,-37.48579999999998,-72.32809999999995
315,3,-37.48579999999998,-72.32809999999995
316,0,-37.44422999999995,-72.33216999999996
317,1,-37.44422999999995,-72.33216999999996
318,2,-37.44422999999995,-72.33216999999996
319,3,-37.44422999999995,-72.33216999999996
320,0,-37.098832999999956,-72.33305799999994
321,1,-37.098832999999956,-72.33305799999994
322,2,-37.098832999999956,-72.33305799999994
323,3,-37.098832999999956,-72.33305799999994
324,0,-37.49510899999996,-72.33525299999997
325,1,-37.49510899999996,-72.33525299999997
326,2,-37.49510899999996,-72.33525299999997
327,3,-37.49510899999996,-72.33525299999997
328,0,-37.489623999999935,-72.33527699999996
329,1,-37.489623999999935,-72.33527699999996
330,2,-37.489623999999935,-72.33527699999996
331,3,-37.489623999999935,-72.33527699999996
332,0,-37.467476999999974,-72.33670699999993
333,1,-37.467476999999974,-72.33670699999993
334,2,-37.467476999999974,-72.33670699999993
335,3,-37.467476999999974,-72.33670699999993
336,0,-37.475814999999955,-72.33725799999996
337,1,-37.475814999999955,-72.33725799999996
338,2,-37.475814999999955,-72.33725799999996
339,3,-37.475814999999955,-72.33725799999996
340,0,-37.46909999999997,-72.34029999999996
341,1,-37.46909999999997,-72.34029999999996
342,2,-37.46909999999997,-72.34029999999996
343,3,-37.46909999999997,-72.34029999999996
344,0,-37.459415999999976,-72.34168499999998
345,1,-37.459415999999976,-72.34168499999998
346,2,-37.459415999999976,-72.34168499999998
347,3,-37.459415999999976,-72.34168499999998
348,0,-37.41141099999993,-72.34259099999997
349,1,-37.41141099999993,-72.34259099999997
350,2,-37.41141099999993,-72.34259099999997
351,3,-37.41141099999993,-72.34259099999997
352,0,-37.45277799999997,-72.34277799999995
353,1,-37.45277799999997,-72.34277799999995
354,2,-37.45277799999997,-72.34277799999995
355,3,-37.45277799999997,-72.34277799999995
356,0,-37.484136999999976,-72.34559599999994
357,1,-37.484136999999976,-72.34559599999994
358,2,-37.484136999999976,-72.34559599999994
359,3,-37.484136999999976,-72.34559599999994
360,0,-37.47388899999993,-72.34722199999999
361,1,-37.47388899999993,-72.34722199999999
362,2,-37.47388899999993,-72.34722199999999
363,3,-37.47388899999993,-72.34722199999999
364,0,-37.46719399999995,-72.34766699999994
365,1,-37.46719399999995,-72.34766699999994
366,2,-37.46719399999995,-72.34766699999994
367,3,-37.46719399999995,-72.34766699999994
368,0,-37.45883399999997,-72.34785899999997
369,1,-37.45883399999997,-72.34785899999997
370,2,-37.45883399999997,-72.34785899999997
371,3,-37.45883399999997,-72.34785899999997
372,0,-37.47376499999996,-72.34907499999997
373,1,-37.47376499999996,-72.34907499999997
374,2,-37.47376499999996,-72.34907499999997
375,3,-37.47376499999996,-72.34907499999997
376,0,-37.474744999999984,-72.34921599999996
377,1,-37.474744999999984,-72.34921599999996
