id,direction,lat,lon
0,0,-38.441653,-72.792291
1,1,-38.441653,-72.792291
2,2,-38.441653,-72.792291
3,3,-38.441653,-72.792291
4,0,-36.742764,-72.968456
5,1,-36.742764,-72.968456
6,2,-36.742764,-72.968456
7,3,-36.742764,-72.968456
8,0,-38.463026,-71.297566
9,1,-38.463026,-71.297566
10,2,-38.463026,-71.297566
11,3,-38.463026,-71.297566
12,0,-38.258415,-72.068549
13,1,-38.258415,-72.068549
14,2,-38.258415,-72.068549
15,3,-38.258415,-72.068549
16,0,-38.372656,-72.073997
17,1,-38.372656,-72.073997
18,2,-38.372656,-72.073997
19,3,-38.372656,-72.073997
20,0,-36.632549,-73.034328
21,1,-36.632549,-73.034328
22,2,-36.632549,-73.034328
23,3,-36.632549,-73.034328
24,0,-36.889594,-71.846899
25,1,-36.889594,-71.846899
26,2,-36.889594,-71.846899
27,3,-36.889594,-71.846899
28,0,-38.400711,-72.999783
29,1,-38.400711,-72.999783
30,2,-38.400711,-72.999783
31,3,-38.400711,-72.999783
32,0,-36.656669,-72.0774
33,1,-36.656669,-72.0774
34,2,-36.656669,-72.0774
35,3,-36.656669,-72.0774
36,0,-37.943367,-71.716627
37,1,-37.943367,-71.716627
38,2,-37.943367,-71.716627
39,3,-37.943367,-71.716627
40,0,-38.2284,-72.665514
41,1,-38.2284,-72.665514
42,2,-38.2284,-72.665514
43,3,-38.2284,-72.665514
44,0,-36.786808,-72.559697
45,1,-36.786808,-72.559697
46,2,-36.786808,-72.559697
47,3,-36.786808,-72.559697
48,0,-37.89847,-71.635184
49,1,-37.89847,-71.635184
50,2,-37.89847,-71.635184
51,3,-37.89847,-71.635184
52,0,-37.729593,-72.902072
53,1,-37.729593,-72.902072
54,2,-37.729593,-72.902072
55,3,-37.729593,-72.902072
56,0,-37.149683,-71.566378
57,1,-37.149683,-71.566378
58,2,-37.149683,-71.566378
59,3,-37.149683,-71.566378
60,0,-37.523157,-72.70434
61,1,-37.523157,-72.70434
62,2,-37.523157,-72.70434
63,3,-37.523157,-72.70434
64,0,-36.928392,-72.400698
65,1,-36.928392,-72.400698
66,2,-36.928392,-72.400698
67,3,-36.928392,-72.400698
68,0,-38.018777,-71.678284
69,1,-38.018777,-71.678284
70,2,-38.018777,-71.678284
71,3,-38.018777,-71.678284
72,0,-36.937413,-71.748586
73,1,-36.937413,-71.748586
74,2,-36.937413,-71.748586
75,3,-36.937413,-71.748586
76,0,-37.101501,-71.793301
77,1,-37.101501,-71.793301
78,2,-37.101501,-71.793301
79,3,-37.101501,-71.793301
80,0,-37.066354,-71.448739
81,1,-37.066354,-71.448739
82,2,-37.066354,-71.448739
83,3,-37.066354,-71.448739
84,0,-38.246543,-72.25313
85,1,-38.246543,-72.25313
86,2,-38.246543,-72.25313
87,3,-38.246543,-72.25313
88,0,-37.779875,-72.162984
89,1,-37.779875,-72.162984
90,2,-37.779875,-72.162984
91,3,-37.779875,-72.162984
92,0,-36.868341,-71.643226
93,1,-36.868341,-71.643226
94,2,-36.868341,-71.643226
95,3,-36.868341,-71.643226
96,0,-37.942748,-71.243049
97,1,-37.942748,-71.243049
98,2,-37.942748,-71.243049
99,3,-37.942748,-71.243049
100,0,-37.012383,-73.107954
101,1,-37.012383,-73.107954
102,2,-37.012383,-73.107954
103,3,-37.012383,-73.107954
104,0,-37.513309,-73.099935
105,1,-37.513309,-73.099935
106,2,-37.513309,-73.099935
107,3,-37.513309,-73.099935
108,0,-37.884266,-72.503547
109,1,-37.884266,-72.503547
110,2,-37.884266,-72.503547
111,3,-37.884266,-72.503547
112,0,-38.163057,-72.57689
113,1,-38.163057,-72.57689
114,2,-38.163057,-72.57689
115,3,-38.163057,-72.57689
116,0,-36.772501,-72.400243
117,1,-36.772501,-72.400243
118,2,-36.772501,-72.400243
119,3,-36.772501,-72.400243
120,0,-38.255871,-71.507711
121,1,-38.255871,-71.507711
122,2,-38.255871,-71.507711
123,3,-38.255871,-71.507711
124,0,-36.731444,-71.829916
125,1,-36.731444,-71.829916
126,2,-36.731444,-71.829916
127,3,-36.731444,-71.829916
128,0,-37.50092,-71.393895
129,1,-37.50092,-71.393895
130,2,-37.50092,-71.393895
131,3,-37.50092,-71.393895
132,0,-36.550782,-72.864265
133,1,-36.550782,-72.864265
134,2,-36.550782,-72.864265
135,3,-36.550782,-72.864265
136,0,-37.117043,-72.329949
137,1,-37.117043,-72.329949
138,2,-37.117043,-72.329949
139,3,-37.117043,-72.329949
140,0,-37.691247,-72.086545
141,1,-37.691247,-72.086545
142,2,-37.691247,-72.086545
143,3,-37.691247,-72.086545
144,0,-37.931705,-71.871389
145,1,-37.931705,-71.871389
146,2,-37.931705,-71.871389
147,3,-37.931705,-71.871389
148,0,-36.411214,-72.827491
149,1,-36.411214,-72.827491
150,2,-36.411214,-72.827491
151,3,-36.411214,-72.827491
152,0,-36.793849,-71.488628
153,1,-36.793849,-71.488628
154,2,-36.793849,-71.488628
155,3,-36.793849,-71.488628
156,0,-36.605655,-71.455693
157,1,-36.605655,-71.455693
158,2,-36.605655,-71.455693
159,3,-36.605655,-71.455693
