id,threat,lat,lon
0,3,-36.443620095580805,-72.90269226139485
1,3,-36.44398407768483,-72.8915599039884
2,3,-36.4443470247235,-72.88042734710218
3,2,-36.452614396079454,-72.90314350262287
4,2,-36.452978497034294,-72.89200986599887
5,4,-36.45334156258692,-72.88087602980421
6,3,-36.45370359267865,-72.86974199460357
7,3,-36.45406458725092,-72.85860776096169
8,2,-36.454424546245356,-72.84747332944333
9,3,-36.45478346960375,-72.8363387006134
10,3,-36.45514135726807,-72.8252038750368
11,2,-36.455498209180426,-72.81406885327853
12,2,-36.46160867817409,-72.90359494398618
13,3,-36.46197289800672,-72.89246002758001
14,3,-36.46233608210018,-72.88132491151224
15,2,-36.46269823039572,-72.8701895963478
16,2,-36.4630593428348,-72.85905408265167
17,3,-36.46341941935901,-72.8479183709889
18,3,-36.46377845991012,-72.83678246192463
19,3,-36.464136464430034,-72.82564635602401
20,3,-36.46449343286088,-72.8145100538523
21,3,-36.47023756710613,-72.91518258201144
22,3,-36.47060294186078,-72.90404658557597
23,3,-36.47096728059814,-72.89291038882277
24,3,-36.471330583259295,-72.88177399231697
25,2,-36.47169284978549,-72.87063739662372
26,2,-36.47205408011812,-72.8595006023083
27,3,-36.47241427419877,-72.84836360993599
28,2,-36.472773431969145,-72.83722642007218
29,3,-36.47313155337117,-72.82608903328232
30,3,-36.4734886383469,-72.81495145013187
31,3,-36.4792316931121,-72.9156357047398
32,3,-36.479597187135525,-72.9044984274835
33,3,-36.47996164480461,-72.89336094981815
34,3,-36.48032506606036,-72.88222327230912
35,3,-36.48068745084403,-72.87108539552183
36,3,-36.48104879909695,-72.8599473200218
37,2,-36.481409110760694,-72.8488090463746
38,3,-36.48176838577695,-72.83767057514584
39,2,-36.4821266240876,-72.8265319069012
40,2,-36.48248382563468,-72.81539304220645
41,2,-36.48283999036038,-72.8042539816274
42,3,-36.488591413994406,-72.90495046980008
43,3,-36.48895599062219,-72.89381171065722
44,2,-36.48931953049944,-72.88267275157952
45,3,-36.48968203356741,-72.87153359313271
46,2,-36.49004349976739,-72.86039423588252
47,2,-36.49040392904092,-72.84925468039476
48,3,-36.490763321329666,-72.83811492723535
49,2,-36.49112167657548,-72.8269749769702
50,2,-36.491478994720374,-72.81583483016534
51,2,-36.49183527570649,-72.80469448738684
52,0,-36.49721988979122,-72.91654255321126
