id,threat,lat,lon
0,3,-38.5,-73.2
1,1,-38.5,-73.15
2,2,-38.5,-73.1
3,5,-38.5,-73.05
4,1,-38.5,-73.0
5,4,-38.5,-72.95
6,5,-38.5,-72.9
7,3,-38.5,-72.85
8,4,-38.5,-72.8
9,4,-38.5,-72.75
10,2,-38.5,-72.7
11,3,-38.5,-72.65
12,4,-38.5,-72.6
13,4,-38.5,-72.55
14,4,-38.5,-72.5
15,4,-38.5,-72.45
16,3,-38.5,-72.4
17,2,-38.5,-72.35
18,1,-38.5,-72.3
19,3,-38.5,-72.25
20,2,-38.5,-72.2
21,3,-38.5,-72.15
22,3,-38.5,-72.1
23,4,-38.5,-72.05
24,1,-38.5,-72.0
25,1,-38.5,-71.95
26,1,-38.5,-71.9
27,2,-38.5,-71.85
28,4,-38.5,-71.8
29,3,-38.5,-71.75
30,3,-38.5,-71.7
31,5,-38.5,-71.65
32,1,-38.5,-71.6
33,1,-38.5,-71.55
34,4,-38.5,-71.5
35,4,-38.5,-71.45
36,1,-38.5,-71.4
37,4,-38.5,-71.35
38,1,-38.5,-71.3
39,5,-38.5,-71.25
40,2,-38.5,-71.2
41,2,-38.45,-73.2
42,2,-38.45,-73.15
43,3,-38.45,-73.1
44,5,-38.45,-73.05
45,5,-38.45,-73.0
46,2,-38.45,-72.95
47,5,-38.45,-72.9
48,1,-38.45,-72.85
49,4,-38.45,-72.8
50,4,-38.45,-72.75
51,5,-38.45,-72.7
52,2,-38.45,-72.65
53,3,-38.45,-72.6
54,3,-38.45,-72.55
55,1,-38.45,-72.5
56,5,-38.45,-72.45
57,5,-38.45,-72.4
58,5,-38.45,-72.35
59,1,-38.45,-72.3
60,4,-38.45,-72.25
61,3,-38.45,-72.2
62,1,-38.45,-72.15
63,4,-38.45,-72.1
64,5,-38.45,-72.05
65,4,-38.45,-72.0
66,2,-38.45,-71.95
67,4,-38.45,-71.9
68,2,-38.45,-71.85
69,2,-38.45,-71.8
70,2,-38.45,-71.75
71,1,-38.45,-71.7
72,3,-38.45,-71.65
73,5,-38.45,-71.6
74,1,-38.45,-71.55
75,2,-38.45,-71.5
76,2,-38.45,-71.45
77,5,-38.45,-71.4
78,3,-38.45,-71.35
79,2,-38.45,-71.3
80,2,-38.45,-71.25
81,1,-38.45,-71.2
82,5,-38.4,-73.2
83,5,-38.4,-73.15
84,4,-38.4,-73.1
85,2,-38.4,-73.05
86,1,-38.4,-73.0
87,2,-38.4,-72.95
88,3,-38.4,-72.9
89,2,-38.4,-72.85
90,4,-38.4,-72.8
91,4,-38.4,-72.75
92,4,-38.4,-72.7
93,5,-38.4,-72.65
94,3,-38.4,-72.6
95,3,-38.4,-72.55
96,2,-38.4,-72.5
97,2,-38.4,-72.45
98,3,-38.4,-72.4
99,5,-38.4,-72.35
100,2,-38.4,-72.3
101,1,-38.4,-72.25
102,4,-38.4,-72.2
103,4,-38.4,-72.15
104,5,-38.4,-72.1
105,4,-38.4,-72.05
106,5,-38.4,-72.0
107,3,-38.4,-71.95
108,1,-38.4,-71.9
109,3,-38.4,-71.85
110,3,-38.4,-71.8
111,4,-38.4,-71.75
112,5,-38.4,-71.7
113,2,-38.4,-71.65
114,2,-38.4,-71.6
115,3,-38.4,-71.55
116,5,-38.4,-71.5
117,4,-38.4,-71.45
118,2,-38.4,-71.4
119,3,-38.4,-71.35
120,3,-38.4,-71.3
121,3,-38.4,-71.25
122,5,-38.4,-71.2
123,5,-38.35,-73.2
124,3,-38.35,-73.15
125,2,-38.35,-73.1
126,1,-38.35,-73.05
127,4,-38.35,-73.0
128,1,-38.35,-72.95
129,1,-38.35,-72.9
130,4,-38.35,-72.85
131,2,-38.35,-72.8
132,2,-38.35,-72.75
133,4,-38.35,-72.7
134,3,-38.35,-72.65
135,4,-38.35,-72.6
136,5,-38.35,-72.55
137,1,-38.35,-72.5
138,4,-38.35,-72.45
139,2,-38.35,-72.4
140,5,-38.35,-72.35
141,4,-38.35,-72.3
142,1,-38.35,-72.25
143,3,-38.35,-72.2
144,3,-38.35,-72.15
145,3,-38.35,-72.1
146,2,-38.35,-72.05
147,5,-38.35,-72.0
148,2,-38.35,-71.95
149,4,-38.35,-71.9
150,3,-38.35,-71.85
151,4,-38.35,-71.8
152,5,-38.35,-71.75
153,2,-38.35,-71.7
154,1,-38.35,-71.65
155,2,-38.35,-71.6
156,1,-38.35,-71.55
157,3,-38.35,-71.5
158,4,-38.35,-71.45
159,5,-38.35,-71.4
160,1,-38.35,-71.35
161,1,-38.35,-71.3
162,5,-38.35,-71.25
163,4,-38.35,-71.2
164,3,-38.3,-73.2
165,5,-38.3,-73.15
166,1,-38.3,-73.1
167,1,-38.3,-73.05
168,2,-38.3,-73.0
169,2,-38.3,-72.95
170,3,-38.3,-72.9
171,4,-38.3,-72.85
172,5,-38.3,-72.8
173,3,-38.3,-72.75
174,3,-38.3,-72.7
175,2,-38.3,-72.65
176,2,-38.3,-72.6
177,3,-38.3,-72.55
178,4,-38.3,-72.5
179,4,-38.3,-72.45
180,1,-38.3,-72.4
181,5,-38.3,-72.35
182,2,-38.3,-72.3
183,4,-38.3,-72.25
184,3,-38.3,-72.2
185,1,-38.3,-72.15
186,2,-38.3,-72.1
187,1,-38.3,-72.05
188,3,-38.3,-72.0
189,2,-38.3,-71.95
190,3,-38.3,-71.9
191,4,-38.3,-71.85
192,1,-38.3,-71.8
193,1,-38.3,-71.75
194,1,-38.3,-71.7
195,1,-38.3,-71.65
196,3,-38.3,-71.6
197,4,-38.3,-71.55
198,5,-38.3,-71.5
199,2,-38.3,-71.45
200,5,-38.3,-71.4
201,4,-38.3,-71.35
202,4,-38.3,-71.3
203,4,-38.3,-71.25
204,4,-38.3,-71.2
205,1,-38.25,-73.2
206,2,-38.25,-73.15
207,5,-38.25,-73.1
208,4,-38.25,-73.05
209,1,-38.25,-73.0
210,5,-38.25,-72.95
211,1,-38.25,-72.9
212,5,-38.25,-72.85
213,2,-38.25,-72.8
214,2,-38.25,-72.75
215,2,-38.25,-72.7
216,4,-38.25,-72.65
217,1,-38.25,-72.6
218,3,-38.25,-72.55
219,5,-38.25,-72.5
220,4,-38.25,-72.45
221,3,-38.25,-72.4
222,5,-38.25,-72.35
223,1,-38.25,-72.3
224,4,-38.25,-72.25
225,5,-38.25,-72.2
226,2,-38.25,-72.15
227,5,-38.25,-72.1
228,1,-38.25,-72.05
229,3,-38.25,-72.0
230,2,-38.25,-71.95
231,1,-38.25,-71.9
232,5,-38.25,-71.85
233,4,-38.25,-71.8
234,2,-38.25,-71.75
235,1,-38.25,-71.7
236,1,-38.25,-71.65
237,5,-38.25,-71.6
238,4,-38.25,-71.55
239,5,-38.25,-71.5
240,1,-38.25,-71.45
241,3,-38.25,-71.4
242,5,-38.25,-71.35
243,2,-38.25,-71.3
244,5,-38.25,-71.25
245,3,-38.25,-71.2
246,5,-38.2,-73.2
247,1,-38.2,-73.15
248,1,-38.2,-73.1
249,5,-38.2,-73.05
250,5,-38.2,-73.0
251,2,-38.2,-72.95
252,1,-38.2,-72.9
253,1,-38.2,-72.85
254,3,-38.2,-72.8
255,4,-38.2,-72.75
256,5,-38.2,-72.7
257,1,-38.2,-72.65
258,4,-38.2,-72.6
259,1,-38.2,-72.55
260,5,-38.2,-72.5
261,5,-38.2,-72.45
262,4,-38.2,-72.4
263,3,-38.2,-72.35
264,4,-38.2,-72.3
265,2,-38.2,-72.25
266,2,-38.2,-72.2
267,3,-38.2,-72.15
268,2,-38.2,-72.1
269,3,-38.2,-72.05
270,4,-38.2,-72.0
271,1,-38.2,-71.95
272,1,-38.2,-71.9
273,3,-38.2,-71.85
274,4,-38.2,-71.8
275,1,-38.2,-71.75
276,1,-38.2,-71.7
277,2,-38.2,-71.65
